YEAR	MONTH	DAY	DAY_OF_WEEK	AIRLINE	FLIGHT_NUMBER	TAIL_NUMBER	ORIGIN_AIRPORT	DESTINATION_AIRPORT	SCHEDULED_DEPARTURE	DEPARTURE_DELAY	ARRIVAL_DELAY	CANCELLED
2015	1	1	4	DL	1958	N937AT	ATL	ECP	1650	-4	-18	0
2015	1	1	4	DL	2431	N906DE	ATL	ECP	2150	-5	-20	0
2015	1	1	4	DL	1172	N688DL	ATL	EGE	1015	1	-19	0
2015	1	1	4	DL	2136	N937DL	ATL	ELP	1050	-5	-20	0
2015	1	1	4	DL	2293	N973DL	ATL	ELP	1910	-1	-15	0
2015	1	1	4	DL	1660	N952DL	ATL	EWR	855	5	-9	0
2015	1	1	4	DL	1798	N974DL	ATL	EWR	1002	-4	-17	0
2015	1	1	4	DL	2537	N906DE	ATL	EWR	1505	0	-17	0
2015	1	1	4	DL	1060	N974DL	ATL	EWR	1615	-3	-13	0
2015	1	1	4	DL	1878	N956AT	ATL	EWR	1745	-1	-5	0
2015	1	1	4	DL	2415	N959AT	ATL	EWR	1900	-2	-13	0
2015	1	1	4	DL	1355	N308DE	ATL	EYW	945	-3	-21	0
2015	1	1	4	DL	2036	N307DQ	ATL	EYW	1345	-1	-14	0
2015	1	1	4	DL	927	N308DE	ATL	EYW	1510	-2	-16	0
2015	1	1	4	DL	1742	N994AT	ATL	FAY	1915	-2	-12	0
2015	1	1	4	DL	2226	N820DN	ATL	FLL	800	-1	-13	0
2015	1	1	4	DL	1589	N924DN	ATL	FLL	910	-3	-18	0
2015	1	1	4	DL	2026	N910DN	ATL	FLL	1000	0	-12	0
2015	1	1	4	DL	2127	N617DL	ATL	FLL	1100	-3	-15	0
2015	1	1	4	DL	2446	N674DL	ATL	FLL	1200	-4	-9	0
2015	1	1	4	DL	1826	N585NW	ATL	FLL	1300	8	-7	0
2015	1	1	4	DL	1626	N820DN	ATL	FLL	1500	0	-21	0
2015	1	1	4	DL	1527	N805DN	ATL	FLL	1600	-1	-19	0
2015	1	1	4	DL	2227	N617DL	ATL	FLL	1700	1	-13	0
2015	1	1	4	DL	1427	N532US	ATL	FLL	1830	2	-10	0
2015	1	1	4	DL	2408	N675DL	ATL	FLL	1955	-1	-11	0
2015	1	1	4	DL	2327	N136DL	ATL	FLL	2045	0	-11	0
2015	1	1	4	DL	1767	N979AT	ATL	FNT	933	-3	-15	0
2015	1	1	4	DL	1766	N893AT	ATL	FNT	2056	-4	-14	0
2015	1	1	4	DL	1356	N981AT	ATL	GNV	2054	-4	-13	0
2015	1	1	4	DL	2194	N988DL	ATL	GPT	2103	-6	-18	0
2015	1	1	4	DL	2059	N915AT	ATL	GRR	1205	-8	-9	0
2015	1	1	4	DL	885	N607AT	ATL	GRR	1500	0	2	0
2015	1	1	4	DL	1433	N332NW	ATL	GRR	2051	-4	-10	0
2015	1	1	4	DL	1974	N342NB	ATL	GSO	1855	-1	-11	0
2015	1	1	4	DL	1206	N953AT	ATL	GSO	2200	-2	-16	0
2015	1	1	4	DL	1341	N991AT	ATL	GSP	1341	-2	-4	0
2015	1	1	4	DL	1209	N958DL	ATL	GSP	1935	-5	-10	0
2015	1	1	4	DL	2625	N361NW	ATL	HDN	1015	-2	-11	0
2015	1	1	4	DL	837	N804NW	ATL	HNL	1050	8	-2	0
2015	1	1	4	DL	1391	N919AT	ATL	HOU	1049	-2	-21	0
2015	1	1	4	DL	2299	N953AT	ATL	HOU	1615	0	-18	0
2015	1	1	4	DL	1241	N937AT	ATL	HOU	2041	-5	-20	0
2015	1	1	4	DL	2014	N970AT	ATL	HSV	1002	3	-12	0
