ID	Control	Treatment
10096_at	9.818350986	9.821300609
10097_at	12.91332778	12.09365436
10098_at	6.071101926	5.811288921
10099_at	5.723131963	7.296095969
10100_at	5.356793979	7.345466174
10101_at	7.029181616	6.579756487
10102_at	5.52898223	5.134401742
10103_at	4.835851499	5.164769737
10104_at	5.599567365	4.645375007
10105_at	4.109324257	4.158822431
10106_at	6.268237818	4.337653587
10107_at	7.116657251	5.039029154
10108_at	9.577933988	8.854922678
10109_at	4.096073047	3.34107925
10110_at	4.914398875	7.563538818
10111_at	7.503268608	7.623858833
10112_at	7.586081602	6.871769371
10113_at	9.22667794	5.208839242
10114_at	8.826488541	4.869491201
10115_at	7.724605913	7.748170838
10116_at	8.461741987	7.480793902
10117_at	7.662086087	8.900530156
10118_at	6.99396851	5.046408302
10119_at	5.694639902	5.040660437
10120_at	6.956418581	7.967215971
10121_at	10.94475489	9.338350765
10122_at	4.296414161	3.970310153
10123_at	6.087345067	7.791565624
10124_at	6.606988818	8.170947331
10125_at	4.874098228	5.335704822
10126_at	6.298580314	5.862617492
10127_at	10.8712808	8.228288718
10128_at	5.283324822	7.569046223
10129_at	9.894244737	11.77496608
10130_at	7.937161463	5.989509369
10131_at	10.28661728	5.353818226
10132_at	10.25831846	6.310507377
10133_at	7.679877116	5.655204224
10134_at	7.953242455	6.45880942
10135_at	7.819918181	6.069364486
10136_at	6.452743828	8.623117728
10137_at	5.633963139	6.707927202
10138_g_at	4.354759144	5.397292296
10139_i_at	9.616564861	11.04773859
10140_r_at	8.511392892	9.68824073
10141_at	8.128045028	8.758774988
10142_at	8.416993808	9.259631497
10143_at	6.882955678	7.161534486
10144_at	7.541997609	8.110981811
10145_at	5.356658676	6.228612128
10146_at	9.807285214	8.566357502
10147_at	12.43566514	11.23531416
10148_at	7.751831479	9.953512872
10149_at	5.908584532	5.96801756
10150_at	6.484219352	5.483852366
10151_at	5.497263958	6.968811766
10152_at	9.665806405	6.854941481
10153_at	5.651181097	5.481784263
10154_at	6.46282152	6.963261421
10155_at	11.15681701	7.898693943
10156_at	6.074680173	6.569713848
10157_at	6.302214305	9.221362236
10158_at	8.11183966	11.00740423
10159_at	9.748948338	9.987114694
10160_at	8.450638687	8.651358651
10161_g_at	11.31158472	12.38505284
10162_at	4.873366467	5.187935184
10163_at	5.280224152	5.215548605
10164_at	3.813797187	3.854253448
10165_at	3.450687019	3.43877331
10166_at	12.5648557	11.28162683
10167_at	10.69376114	6.905144491
10168_at	6.706805117	7.183813915
10169_at	7.218364238	6.11610917
10170_g_at	7.868164033	8.179853764
10171_at	4.868557092	5.308577693
10172_at	7.665289152	9.091231216
10173_at	5.264992497	4.108781436
10174_at	6.874572364	6.403214134
10175_at	6.40406091	4.300353672
10176_at	6.970080431	4.958147316
10177_at	9.149202505	6.38116852
10178_at	3.553937896	3.171575558
10179_at	6.358279024	7.318968469
10180_at	11.39830451	7.813526255
10181_at	4.74152406	6.636123477
10182_at	6.708217912	8.258363658
10183_at	7.393592163	9.742902875
10184_at	5.972132028	6.355712849
10185_s_at	3.962970653	3.834142926
10186_s_at	4.053637309	3.934538161
10187_at	6.519661925	6.277543694
10188_at	6.445434125	6.842004008
10189_at	7.938573344	7.041158849
10190_at	4.489179283	4.350190157
10191_at	5.728753773	5.77164741
10192_at	5.202676334	5.1660447
10193_at	10.25859036	10.63832708
10194_at	7.584446844	10.01855107
10195_at	3.643109385	4.578265815
10196_g_at	5.888620637	6.191507236
10197_at	4.77843765	4.978983544
10198_at	4.128043952	4.036594457
10199_at	4.127604203	3.673399609
10200_at	6.215056893	5.18566673
10201_at	4.246361543	3.919488062
10202_at	5.34869865	4.514653757
10203_at	8.109628228	4.508068653
10204_at	9.379622421	7.832819992
10205_at	4.605398163	5.25527043
10206_at	5.621495222	6.064550997
10207_at	5.634651251	7.494897547
10208_at	7.904588764	9.982484488
10209_at	5.901848273	5.808995962
10210_at	8.300149601	5.259265074
10211_at	6.172848712	5.283159113
10212_at	7.605989205	6.739416074
10213_at	4.796136787	5.21347796
10214_at	4.097099616	4.443972384
10215_at	7.81420867	6.385348643
10216_at	6.087858174	5.72552295
10217_at	5.505830549	5.047796099
10218_at	9.764674403	11.74501973
10219_at	9.241712868	9.538957648
10220_at	5.22267622	6.337801987
10221_at	4.525276432	5.246672304
10222_at	5.92234747	5.286234512
